Occupation Title,Typical Entry-Level Education,Occupation Code,Employment 2020,Employment 2030,"Employment Change, 2020-2030","Employment Percent Change, 2020-2030","Occupational Openings, 2020-2030 Annual Average",Median Annual Wage 2020,Education Code,Work Experience in a Related Occupation,Workex Code,Typical on-the-job Training,trCode
Paralegals and legal assistants    * Assistant Paralegal* Legal Aide* Legal Assistant* Paralegal* Summer Associate* Summer Law Clerk,Associate's degree,23-2011,345.6,387,41.4,12,43,"52,920",4,None,4,None,6
"Title examiners, abstractors, and searchers    * Abstract Searcher* Abstract Writer* Advisory Title Officer* Escrow Officer* Land Title Examiner* Lease Examiner* Lien Searcher* Title Agent* Title Checker* Title Examiner* Title Inspector* Title Investigator* Title Officer* Title Searcher",High school diploma or equivalent,23-2093,62.2,63.3,1.1,1.7,6.1,"48,820",7,None,4,Moderate-term on-the-job training,4
"Legal support workers, all other    * Legal Technician",Associate's degree,23-2099,49.6,49.8,0.2,0.5,4.7,"59,540",4,None,4,None,6
"Business teachers, postsecondary    * Accounting Professor* Banking and Finance Instructor* Business Administration Professor* Finance Professor* Management Professor* Marketing Instructor* Marketing Professor",Doctoral or professional degree,25-1011,96.5,102.8,6.2,6.5,9.7,"88,010",1,None,4,None,6
"Computer science teachers, postsecondary    * C++ Professor* Computer Information Systems Professor* Computer Programming Professor* IT Professor* Information Systems Professor* Information Technology Professor* Java Programming Professor",Doctoral or professional degree,25-1021,37.8,40.4,2.6,6.9,3.8,"85,540",1,None,4,None,6
"Mathematical science teachers, postsecondary    * Actuarial Science Professor* Biostatistics Professor* Calculus Professor* Geometry Professor* Mathematics Professor* Statistical Methods Professor* Statistics Professor* Topology Professor",Doctoral or professional degree,25-1022,56.1,59.2,3.2,5.6,5.6,"73,650",1,None,4,None,6
"Architecture teachers, postsecondary    * Architectural Design Professor* Architecture Professor* Interior Design Professor* Landscape Architecture Professor",Doctoral or professional degree,25-1031,8.5,9.2,0.7,8.3,0.9,"90,880",1,None,4,None,6
"Engineering teachers, postsecondary    * Aeronautical Engineering Professor* Ceramic Engineering Professor* Chemical Engineering Professor* Civil Engineering Professor* Electrical Engineering Professor* Electronics Engineering Professor* Industrial Engineering Professor* Manufacturing Engineering Professor* Marine Engineering Professor* Mechanical Engineering Professor* Petroleum Engineering Professor",Doctoral or professional degree,25-1032,46.3,52.1,5.8,12.5,5.1,"103,600",1,None,4,None,6
"Agricultural sciences teachers, postsecondary    * Agricultural Soil Conservation Professor* Agronomy Professor* Animal Husbandry Professor* Animal Science Professor* Aquaculture and Fisheries Professor* Farm Management Professor* Floriculture Professor* Horticulture Instructor* Olericulture Professor",Doctoral or professional degree,25-1041,9.9,10.4,0.5,5,1,"90,340",1,None,4,None,6
"Biological science teachers, postsecondary    * Anatomy Professor* Bacteriology Professor* Biochemistry Professor* Botany Professor* Embryology Professor* Microbiology Professor* Zoology Professor",Doctoral or professional degree,25-1042,60.5,68.2,7.7,12.8,6.7,"85,600",1,None,4,None,6
"Forestry and conservation science teachers, postsecondary    * Ecology Professor* Environmental Conservation Professor* Forest Biometrics Professor* Forest Ecology Professor* Forest Management Professor* Forest Pathology Professor* Forest Resources Professor* Forest Technology Professor* Silviculture Professor* Timber Management Professor* Wildlife Conservation Professor",Doctoral or professional degree,25-1043,1.7,1.8,0.1,5.5,0.2,"87,400",1,None,4,None,6
"Atmospheric, earth, marine, and space sciences teachers, postsecondary    * Climatology Professor* Earth Science Professor* Geology Professor* Geoscience Professor* Meteorology Professor* Mineralogy Professor* Oceanic Sciences Professor* Oceanography Professor* Volcanology Professor",Doctoral or professional degree,25-1051,13.6,14.5,0.9,6.4,1.4,"94,520",1,None,4,None,6
"Chemistry teachers, postsecondary    * Chemistry Professor* Inorganic Chemistry Professor* Organic Chemistry Professor* Physical Chemistry Professor* Phytochemistry Professor",Doctoral or professional degree,25-1052,25.6,27.6,2,7.9,2.6,"80,400",1,None,4,None,6
"Environmental science teachers, postsecondary    * Environmental Science Professor* Environmental Science, Management and Policy Professor* Environmental Studies Professor",Doctoral or professional degree,25-1053,7.1,7.6,0.5,6.8,0.7,"84,740",1,None,4,None,6
"Physics teachers, postsecondary    * Aerodynamics Professor* Astrophysics Professor* Atomic Physics Professor* Ballistics Professor* Hydrodynamics Professor* Medical Physics Professor* Nuclear Physics Professor* Physical Science Professor* Thermodynamics Professor",Doctoral or professional degree,25-1054,16.5,17.8,1.3,8.1,1.7,"90,400",1,None,4,None,6
"Anthropology and archeology teachers, postsecondary    * Cultural Anthropology Professor* Ethnoarchaeology Professor* Near East Archeology Professor* Paleology Professor* Sociocultural Anthropology Professor",Doctoral or professional degree,25-1061,6.7,7.2,0.5,8.1,0.7,"89,220",1,None,4,None,6
"Area, ethnic, and cultural studies teachers, postsecondary    * African Studies Professor* Asian Studies Professor* Black Studies Professor* Ethnology Professor* Gender Studies Professor* Latin American Studies Professor* Women's Studies Professor",Doctoral or professional degree,25-1062,12.1,13.1,1.1,8.8,1.3,"78,840",1,None,4,None,6
"Economics teachers, postsecondary    * Agricultural Economics Professor* Econometrics Professor* Industrial Economics Professor* Labor Economics Professor* Macroeconomics Professor* Microeconomics Professor",Doctoral or professional degree,25-1063,16,17.4,1.4,9,1.7,"107,260",1,None,4,None,6
"Geography teachers, postsecondary    * Cartography Professor* GIS Professor* Geographic Information Systems Professor* Geomatics Professor",Doctoral or professional degree,25-1064,4.4,4.7,0.3,6.3,0.4,"82,330",1,None,4,None,6
"Political science teachers, postsecondary    * Government Professor* International Relations Professor* Political Theory Professor* Public Policy Professor",Doctoral or professional degree,25-1065,18.4,20,1.6,8.7,1.9,"85,760",1,None,4,None,6
"Psychology teachers, postsecondary    * Applied Psychology Professor* Child Development Professor* Clinical Psychology Professor* Educational Psychology Professor* Human Relations Professor* Industrial Psychology Professor* Industrial/Organizational Psychology Professor* Psychology Professor",Doctoral or professional degree,25-1066,44.1,48.6,4.5,10.3,4.7,"78,180",1,None,4,None,6
"Sociology teachers, postsecondary    * Comparative Sociology Professor* Race Relations Professor* Social Organization Professor",Doctoral or professional degree,25-1067,15.9,17.1,1.2,7.6,1.6,"75,610",1,None,4,None,6
"Social sciences teachers, postsecondary, all other    * Social Science Professor* Survey Research Professor* Urban Planning Professor",Doctoral or professional degree,25-1069,19.5,20.3,0.8,4.3,1.9,"69,340",1,None,4,None,6
"Health specialties teachers, postsecondary    * Clinical Laboratory Science Professor* Clinical Sciences Professor* Dentistry Professor* Gastroenterology Professor* Neurology Professor* Nutrition Professor* Occupational Therapy Professor* Optometry Professor* Pharmacology Professor* Physical Therapy Professor* Podiatric Medicine Professor* Podiatry Professor* Public Health Professor",Doctoral or professional degree,25-1071,242.7,301.6,58.9,24.3,30.8,"99,090",1,Less than 5 years,2,None,6
"Nursing instructors and teachers, postsecondary    * Advanced Nursing Professor* Clinical Nursing Instructor* Clinical Nursing Professor* Registered Nursing Professor",Doctoral or professional degree,25-1072,72.6,88.9,16.3,22.4,9,"75,470",1,Less than 5 years,2,None,6
"Education teachers, postsecondary    * Counselor Education Professor* Literacy Education Professor* Mathematics Education Professor* Primary Education Professor* Science Education Professor* Secondary Education Professor* Special Education Professor",Doctoral or professional degree,25-1081,70,75.8,5.8,8.3,7.2,"65,440",1,Less than 5 years,2,None,6
"Library science teachers, postsecondary    * Library and Information Science Professor* Library and Information Technology Instructor* Medical Records Library Professor",Doctoral or professional degree,25-1082,5,5.3,0.3,5.9,0.5,"71,580",1,None,4,None,6
"Criminal justice and law enforcement teachers, postsecondary    * Criminal Justice Professor* Criminology Professor* Penology Professor",Doctoral or professional degree,25-1111,16.1,17.9,1.8,11.1,1.7,"63,560",1,None,4,None,6
"Law teachers, postsecondary    * Constitutional Law Professor* Contracts Law Professor* Criminal Law Professor* Environmental Law Professor* Labor Law Professor* Torts Law Professor",Doctoral or professional degree,25-1112,18.9,21,2,10.6,2,"116,430",1,Less than 5 years,2,None,6
"Social work teachers, postsecondary    * Family Welfare Social Work Professor* Geriatric Social Work Professor* Health Social Work Professor* Social Work Professor",Doctoral or professional degree,25-1113,16.6,18.1,1.5,8.9,1.7,"71,570",1,None,4,None,6
"Art, drama, and music teachers, postsecondary    * Ballet Professor* Graphic Design Professor* Music Professor* Photography Professor* Piano Performance and Pedagogy Professor* Piano Professor* Scene and Lighting Design Lecturer* Stagecraft Professor* Theatre Professor* Voice Professor",Master's degree,25-1121,109.3,120.3,11,10.1,11.6,"69,690",2,None,4,None,6
"Communications teachers, postsecondary    * Interpersonal Communications Professor* Journalism Professor* Media Arts Professor* Professor of Communication and Writing* Professor of Rhetoric* Public Speaking Professor* Speech Professor",Doctoral or professional degree,25-1122,33.6,36,2.4,7.3,3.4,"71,030",1,None,4,None,6
"English language and literature teachers, postsecondary    * Children's Literature Professor* Composition Professor* Contemporary English Literature Professor* Creative Writing English Professor* Etymology Professor* Medieval English Literature Professor* Seventeenth-Century English Literature Professor* Victorian Literature Professor",Doctoral or professional degree,25-1123,75,79.6,4.7,6.2,7.5,"69,000",1,None,4,None,6
"Foreign language and literature teachers, postsecondary    * Arabic Professor* Biblical Languages Professor* Chinese Language Professor* French Professor* German Professor* Greek Professor* Hebrew Professor* Japanese Professor* Russian Language Professor* Spanish Literature Professor",Doctoral or professional degree,25-1124,27.1,29.7,2.6,9.4,2.9,"69,920",1,None,4,None,6
"History teachers, postsecondary    * African History Professor* American History Professor* Historiography Professor* Jewish History Professor* Russian History Professor* South Asian History Professor",Doctoral or professional degree,25-1125,24.4,26.3,1.9,7.9,2.5,"76,890",1,None,4,None,6
"Philosophy and religion teachers, postsecondary    * Biblical Studies Professor* Divinity Professor* Eastern Philosophy Professor* Old Testament Professor* Pastoral Ministries Professor* Religious Studies Professor* Theology Professor* Western Philosophy Professor",Doctoral or professional degree,25-1126,29,32.2,3.2,11,3.1,"76,160",1,None,4,None,6
"Family and consumer sciences teachers, postsecondary    * Family Resource Management Professor* Family and Consumer Sciences Professor* Home and Family Living Professor* Weaving Professor",Doctoral or professional degree,25-1192,2.6,2.8,0.2,5.8,0.3,"72,220",1,None,4,None,6
"Recreation and fitness studies teachers, postsecondary    * Health and Physical Education Professor* Human Performance Professor* Kinesiology Professor* Leisure Studies Professor* Physical Education (PE) Professor* Physical Education Professor* Swimming Professor",Doctoral or professional degree,25-1193,17,18.2,1.2,6.8,1.7,"66,290",1,None,4,None,6
"Career/technical education teachers, postsecondary    * Architectural Drafting Instructor* Aviation Maintenance Instructor* Barbering Instructor* Barbering Teacher* Building Trades Instructor* Carpentry Instructor* Commercial Art Instructor* Computer Repair Instructor* Computer-Aided Drafting and Design Instructor* Cosmetology Professor* Electrical Technology Instructor* Electronics Technology Instructor* Industrial Electrical Technology Instructor* Industrial Maintenance Instructor* Machine Tool Technician Instructor* Masonry Instructor* Massage Therapy Instructor* Mechanical Maintenance Instructor* Paralegal Instructor* Postsecondary Career and Technical Education Teacher* Residential Construction Instructor* Skin Care Instructor* Upholstery Instructor* Vocational Horticulture Instructor* Welding Instructor",Bachelor's degree,25-1194,114.2,118.1,3.8,3.4,11,"55,620",3,Less than 5 years,2,None,6
"Postsecondary teachers, all other    * Braille Teacher* Flight Simulator Teacher* Interdisciplinary Professor* Military Science Teacher* Project Management Professor",Doctoral or professional degree,25-1199,230.3,243.9,13.6,5.9,23,"71,950",1,None,4,None,6
"Preschool teachers, except special education    * Early Childhood Teacher* Head Start Teacher* Nursery School Teacher* Nursery Teacher* Pre-K Teacher* Pre-Kindergarten Teacher* Preschool Teacher",Associate's degree,25-2011,469.6,556,86.4,18.4,59.6,"31,930",4,None,4,None,6
"Kindergarten teachers, except special education    * Bilingual Kindergarten Teacher* Kindergarten Teacher",Bachelor's degree,25-2012,121.3,131.1,9.8,8.1,13.5,"57,860",3,None,4,None,6
"Elementary school teachers, except special education    * 3rd Grade Reading Teacher* 4th Grade Math Teacher* Elementary School Band Director* Elementary School Teacher* Grades 1 Thru 5 Teacher",Bachelor's degree,25-2021,"1,371.10","1,472.90",101.7,7.4,110.8,"60,940",3,None,4,None,6
"Middle school teachers, except special and career/technical education    * 7th Grade Social Studies Teacher* Junior High School Teacher* Middle School PE Teacher* Middle School Science Teacher",Bachelor's degree,25-2022,598.5,643.3,44.8,7.5,48.4,"60,810",3,None,4,None,6
"Career/technical education teachers, middle school    * Middle School Vocational Education Teacher",Bachelor's degree,25-2023,11.5,12.4,0.9,7.4,0.9,"62,270",3,Less than 5 years,2,None,6
"Secondary school teachers, except special and career/technical education    * High School Biology Teacher* High School English Teacher* High School French Teacher* High School History Teacher* High School Math Teacher* High School Music Director* High School Teacher",Bachelor's degree,25-2031,998.8,"1,077.00",78.2,7.8,77.4,"62,870",3,None,4,None,6
"Career/technical education teachers, secondary school    * High School Auto Repair Teacher* High School Vocational Education Teacher",Bachelor's degree,25-2032,72.3,77.5,5.1,7.1,5.5,"62,460",3,Less than 5 years,2,None,6
"Special education teachers, preschool    * Early Childhood Special Education Teacher* Early Childhood Special Educator* Pre-K Special Education Teacher* Pre-Kindergarten Special Education Teacher* Special Education Preschool Teacher",Bachelor's degree,25-2051,20.8,23.4,2.5,12.1,1.8,"61,400",3,None,4,None,6
"Special education teachers, kindergarten and elementary school    * SED Elementary School Teacher* Severe Emotional Disorders Elementary School Teacher* Special Education Kindergarten Teacher",Bachelor's degree,25-2052,188.6,203.4,14.8,7.8,15.7,"60,620",3,None,4,None,6
"Special education teachers, middle school",Bachelor's degree,25-2057,78.5,84.4,5.9,7.5,6.5,"61,820",3,None,4,None,6
"Special education teachers, secondary school",Bachelor's degree,25-2058,140.9,151.8,10.8,7.7,11.7,"62,320",3,None,4,None,6
"Special education teachers, all other    * Autism Tutor* Special Education Teacher for Adults with Disabilities",Bachelor's degree,25-2059,34.3,37.9,3.6,10.5,3,"62,820",3,None,4,None,6
"Adult basic education, adult secondary education, and English as a Second Language instructors    * Adult Basic Studies Teacher* Adult Education Teacher* Adult Literacy Instructor* Adult Literacy Teacher* Adult Remedial Education Instructor* GED Instructor* General Educational Development (GED) Teacher* General Educational Development Teacher",Bachelor's degree,25-3011,48.3,45.9,-2.4,-5,5.1,"55,350",3,None,4,None,6
Self-enrichment teachers    * Ballet Teacher* CPR Instructor* Ceramics Instructor* Citizenship Teacher* Dance Teacher* Defensive Driving Instructor* Driver Education Instructor* Driving Instructor* First Aid Instructor* Horseback Riding Instructor* Judo Instructor* Karate Instructor* Knitting Teacher* Martial Arts Instructor* Sailing Instructor* Skiing Instructor* Snowboard Instructor* Theater Education Teacher,High school diploma or equivalent,25-3021,336.7,415.9,79.2,23.5,50.5,"39,960",7,Less than 5 years,2,None,6
"Substitute teachers, short-term",Bachelor's degree,25-3031,536.9,604.6,67.8,12.6,71.4,"29,370",3,None,4,None,6
"Tutors and teachers and instructors, all other",Bachelor's degree,25-3097,385,445.2,60.2,15.6,53,"40,590",3,None,4,None,6
Archivists    * Archivist* Digital Archivist* Film Archivist* Historical Records Administrator* Image Archivist* Museum Archivist* Processing Archivist* Reference Archivist* State Archivist,Master's degree,25-4011,8.1,9,0.9,10.9,1,"56,760",2,None,4,None,6
Curators    * Collections Curator* Collections and Archives Director* Curator* Educational Institution Curator* Exhibitions and Collections Manager* Herbarium Curator* Museum Curator* Photography and Prints Curator,Master's degree,25-4012,13.4,16.3,2.9,21.6,1.9,"56,990",2,None,4,None,6
Museum technicians and conservators    * Art Conservator* Art Preparator* Conservation Technician* Ethnographic Materials Conservator* Museum Exhibit Technician* Objects Conservator* Paintings Conservator* Paper Conservator* Textile Conservator,Bachelor's degree,25-4013,13.5,16.3,2.8,20.6,1.9,"45,710",3,None,4,None,6
Librarians and media collections specialists,Master's degree,25-4022,143.5,156.5,13,9.1,15.2,"60,820",2,None,4,None,6
Library technicians    * Cataloging Library Technical Assistant* Library Acquisitions Technician* Library Cataloging Technician* Library Circulation Technician* Library Technical Assistant* Serials or Bindery Library Technical Assistant,Postsecondary nondegree award,25-4031,93.1,93.2,0.1,0.2,13.4,"37,010",5,None,4,None,6
Farm and home management educators    * 4-H Youth Development Specialist* Agricultural Agent* Agricultural Extension Educator* Extension Service Advisor* Family Resource Management Specialist* Family and Consumer Sciences Extension Agent* Farm Business Management Agent* Farm Management Specialist* Feed Management Advisor* Home Economics Expert,Master's degree,25-9021,9.3,9.2,-0.1,-1.2,0.8,"51,550",2,None,4,None,6
Instructional coordinators    * Curriculum Coordinator* Curriculum Designer* Curriculum Specialist* Curriculum and Assessment Director* Curriculum and Instruction Director* Instructional Coordinator* Instructional Materials Director* School Curriculum Developer* Special Education Curriculum Specialist,Master's degree,25-9031,190.4,208.9,18.4,9.7,20.4,"66,970",2,5 years or more,1,None,6
"Teaching assistants, postsecondary",Bachelor's degree,25-9044,165.4,176,10.5,6.4,16.7,"36,250",3,None,4,None,6
"Teaching assistants, except postsecondary","Some college, no degree",25-9045,"1,306.30","1,422.30",116,8.9,136.4,"28,900",6,None,4,None,6
"Educational instruction and library workers, all other    * General Educational Development (GED) Examiner* Individualized Education Plan (IEP) Aide* Scholastic Aptitude Test (SAT) Grader",Bachelor's degree,25-9099,157,169.5,12.5,8,16.4,"41,570",3,None,4,None,6
Art directors    * Art Director* Magazine Designer,Bachelor's degree,27-1011,98.5,109.4,10.8,11,11.5,"97,270",3,5 years or more,1,None,6
Craft artists    * Furniture Artist* Hand Potter* Metal Arts Production Artist* Quilter,No formal educational credential,27-1012,9.6,10.9,1.3,13.2,1.2,"35,180",8,None,4,Long-term on-the-job training,3
"Fine artists, including painters, sculptors, and illustrators    * Book Illustrator* Caricature Artist* Comic Artist* Comic Book Artist* Comic Illustrator* Commercial Artist* Concrete Sculptor* Editorial Cartoonist* Fashion Illustrator* Free Lance Artist* Fresco Artist* Glass Artist* Ice Sculptor* Medical Illustrator* Mural Painter* Muralist* Non-Representational Metal Sculptor* Oil Painter* Pattern Illustrator* Political Cartoonist* Portrait Artist* Portrait Painter* Scientific Illustrator* Sketch Artist* Sports Cartoonist* Stained Glass Artist* Water Colorist* Watercolor Artist",Bachelor's degree,27-1013,25.9,30.4,4.5,17.3,3.3,"52,340",3,None,4,Long-term on-the-job training,3
Special effects artists and animators    * 3D Animator* Animator* Multimedia Artist* Special Effects Artist,Bachelor's degree,27-1014,62.4,72.3,9.9,15.8,7.8,"77,700",3,None,4,None,6
"Artists and related workers, all other    * Calligrapher* Tattoo Artist",No formal educational credential,27-1019,12.6,13.8,1.2,9.5,1.5,"65,800",8,None,4,Long-term on-the-job training,3
Commercial and industrial designers    * Automobile Designer* Bank Note Designer* Bicycle Designer* Car Body Designer* Ceramic Designer* Ceramic Mold Designer* Furniture Designer* Package Designer* Rug Designer* Snowboard Designer* Textile Designer* Tile Designer* Toy Designer,Bachelor's degree,27-1021,31.5,33.3,1.8,5.6,3.1,"71,640",3,None,4,None,6
Fashion designers    * Apparel Designer* Clothes Designer* Clothing Designer* Costume Designer* Custom Furrier* Dance Costume Designer* Dress Designer* Fashion Designer* Hat Designer* Sweater Designer* Uniform Designer,Bachelor's degree,27-1022,27.8,28,0.1,0.5,2.5,"75,810",3,None,4,None,6
Floral designers    * Corsage Maker* Floral Arranger* Floral Artist* Floral Decorator* Florist* Florist Designer* Flower Arranger,High school diploma or equivalent,27-1023,42.3,33.8,-8.5,-20.1,2.6,"29,140",7,None,4,Moderate-term on-the-job training,4
Graphic designers    * Catalogue Illustrator* Graphic Artist* Graphic Designer* Visual Designer,Bachelor's degree,27-1024,254.1,261.4,7.3,2.9,23.9,"53,380",3,None,4,None,6
Interior designers    * Certified Kitchen Designer* Furniture Arranger* Home Lighting Adviser* Interior Decorator* Interior Designer* Kitchen Designer* Kitchen and Bath Designer,Bachelor's degree,27-1025,87,86.9,-0.2,-0.2,7.8,"57,060",3,None,4,None,6
Merchandise displayers and window trimmers    * Display Artist* Display Decorator* Display Designer* Display Specialist* Mannequin Decorator* Merchandise Displayer* Show Floor Decorator* Visual Merchandiser* Visual Merchandising Specialist* Window Decorator* Window Draper* Window Dresser* Window Trimmer,High school diploma or equivalent,27-1026,136.4,142.4,6.1,4.4,13.2,"30,810",7,None,4,Short-term on-the-job training,5
Set and exhibit designers    * Scenic Designer* Set Decorator* Set Designer* Stage Scenery Designer* Theater Set Production Designer,Bachelor's degree,27-1027,29.7,32.4,2.7,9.1,3.1,"58,180",3,None,4,None,6
"Designers, all other    * Memorial Marker Designer",Bachelor's degree,27-1029,31.6,31.6,0,0.1,2.8,"63,750",3,None,4,None,6
Actors    * Actor Understudy* Actress* Dramatic Reader* Elocutionist* Monologist* Vaudeville Actor* Voice-Over Artist,"Some college, no degree",27-2011,51.6,68.3,16.7,32.4,8.2,N/A,6,None,4,Long-term on-the-job training,3
Producers and directors    * Broadcast Producer* Casting Director* Film Maker* Independent Film Maker* Independent Video Producer* Motion Picture Director* Movie Producer* Music Video Director* Music Video Producer* News Production Supervisor* Newscast Director* Newscast Producer* On-Air Director* Pageant Director* Radio Producer* Radio Television Technical Director* Stage Manager* Television News Producer* Television Newscast Director* Television Producer* Television Program Director* Theater Company Producer* Video Producer,Bachelor's degree,27-2012,131,162.5,31.6,24.1,15.6,"76,400",3,Less than 5 years,2,None,6
Athletes and sports competitors    * All Terrain Vehicle Racer* Athlete* Auto Racer* Baseball Pitcher* Baseball Player* Basketball Player* Bicycle Racer* Bicyclist* Billiard Player* Bowler* Bull Rider* Car Racer* Cyclist* Dirt Bike Racer* Drag Car Racer* Figure Skater* Football Player* Golfer* Hockey Player* Horse Racer* Ice Skater* Jockey* Kick Boxer* Motocross Racer* National Association for  Stock Car Auto Racing Driver* Prize Fighter* Professional Bass Fisher* Professional Soccer Player* Pugilist* Race Car Driver* Roller Skater* Skater* Skier* Snowboarder* Softball Player* Stock Car Driver* Surfer* Swimmer* Tennis Player* Volleyball Player* Wrestler,No formal educational credential,27-2021,16.7,23,6.3,38,3.4,"50,850",8,None,4,Long-term on-the-job training,3
Coaches and scouts    * Athletic Coach* Baseball Coach* Baseball Scout* Basketball Coach* Boxing Trainer* Coach* Football Coach* Hockey Scout* Ice Skating Coach* Riding Coach* Ski Coach* Tennis Coach* Tennis Instructor,Bachelor's degree,27-2022,249.9,313.8,63.9,25.6,45.1,"36,330",3,None,4,None,6
"Umpires, referees, and other sports officials    * Athletic Events Scorer* Baseball Umpire* Diving Judge* Dressage Judge* Equestrian Events Judge* Handicapper* Horse Show Judge* Paddock Judge* Pit Steward* Placing Judge* Race Starter",High school diploma or equivalent,27-2023,20.2,26.2,6,29.4,3.8,"28,940",7,None,4,Moderate-term on-the-job training,4
Dancers    * Ballerina* Ballet Company Member* Ballet Dancer* Ballet Soloist* Burlesque Dancer* Dance Artist* Dancer* Discotheque Dancer* Exotic Dancer* Go-Go Dancer* Line Dancer* Soft Shoe Dancer* Tap Dancer,No formal educational credential,27-2031,9,11.7,2.7,30,1.9,N/A,8,None,4,Long-term on-the-job training,3
Choreographers    * Choreographer* Dance Director* Dance Master,High school diploma or equivalent,27-2032,4.6,6.1,1.5,32.1,1,"43,680",7,5 years or more,1,Long-term on-the-job training,3
Music directors and composers    * Choir Director* Choirmaster* Chorus Master* Composer* Jingle Writer* Maestro* Music Adapter* Music Arranger* Music Copyist* Music Director* Music Minister* Music Pastor* Orchestra Conductor* Orchestra Director* Orchestrator* Songwriter,Bachelor's degree,27-2041,48.1,51.2,3,6.3,6,"52,250",3,Less than 5 years,2,None,6
Musicians and singers    * Accompanist* Baritone* Bassoonist* Bugler* Cellist* Choir Member* Church Organist* Clarinetist* Concert Pianist* Concert Singer* Double Bass Player* English Horn Player* Flutist* Guitar Player* Guitarist* Harpist* Horn Player* Instrumentalist* Musician* Oboist* Opera Singer* Organist* Percussionist* Pianist* Piano Player* Piccoloist* Rapper* Soloist* Tenor* Timpanist* Trombonist* Trumpet Player* Trumpeter* Violinist* Violist* Vocalist,No formal educational credential,27-2042,157.3,174.8,17.5,11.1,20.8,N/A,8,None,4,Long-term on-the-job training,3
"Miscellaneous entertainers and performers, sports and related workers",No formal educational credential,27-2090,33.7,45.2,11.4,33.8,4.9,N/A,8,None,4,Short-term on-the-job training,5
Broadcast announcers and radio disc jockeys    * Commercial Announcer* Game Show Host* Radio Artist* Radio Disk Jockey* Radio Host* Talk Show Host* Television Host,Bachelor's degree,27-3011,30.7,33.9,3.2,10.3,3.3,"36,770",3,None,4,None,6
"News analysts, reporters, and journalists",Bachelor's degree,27-3023,46.7,49.5,2.8,6,5.4,"49,300",3,None,4,None,6
Public relations specialists    * Environmental Communications Specialist* Lobbyist* Media Relations Specialist* Press Agent* Press Secretary* Public Affairs Officer* Public Relations Counselor* Public Relations Officer* Public Relations Representative* Publicist* Publicity Agent* Publicity Writer,Bachelor's degree,27-3031,272.3,303.4,31.2,11.4,29.2,"62,810",3,None,4,None,6
Editors    * Advertising Editor* Art Editor* Book Editor* Copy Desk Chief* Copy Editor* Index Editor* Manuscript Editor* Newspaper Photo Editor* Publications Editor* Rewrite Editor* Scientific Publications Editor* Sports Editor* Technical Editor,Bachelor's degree,27-3041,108.6,114.1,5.6,5.1,11.2,"63,400",3,Less than 5 years,2,None,6
Technical writers    * Assembly Instructions Writer* Documentation Writer* Engineering Writer* Handbook Writer* Medical Writer* Specifications Writer* Technical Communicator* Technical Writer,Bachelor's degree,27-3042,52.3,58.3,6.1,11.6,5.5,"74,650",3,Less than 5 years,2,Short-term on-the-job training,5
Writers and authors    * Advertising Copy Writer* Advertising Copywriter* Author* Biographer* Copy Writer* Copywriter* Lyricist* Novelist* Playwright* Poet* Program Writer* Radio Script Writer* Screen Writer* Short Story Writer* Song Lyricist* Television Writer* Verse Writer,Bachelor's degree,27-3043,143.2,155.4,12.2,8.5,15.4,"67,120",3,None,4,Long-term on-the-job training,3
Interpreters and translators    * American Sign Language Interpreter* Court Interpreter* Deaf Interpreter* Diplomatic Interpreter* Language Translator* Translator,Bachelor's degree,27-3091,81.4,100.7,19.3,23.7,10.4,"52,330",3,None,4,None,6
Court reporters and simultaneous captioners,Postsecondary nondegree award,27-3092,21.3,21.8,0.5,2.5,2.1,"61,660",5,None,4,Short-term on-the-job training,5
"Media and communication workers, all other    * Stage Technician",High school diploma or equivalent,27-3099,21.5,26.4,4.9,22.9,2.7,"49,730",7,None,4,Short-term on-the-job training,5
Audio and video technicians    * Audio-Visual Production Specialist* Event AV Operator* Event Crew Technician* Multimedia Production Assistant* Video Control Operator* Video Equipment Technician* Video Production Assistant,Postsecondary nondegree award,27-4011,73.9,93.3,19.4,26.2,10.2,"47,920",5,None,4,Short-term on-the-job training,5
Broadcast technicians    * Audio Engineer* Broadcast Engineer* Broadcast Maintenance Engineer* Broadcast Operations Engineer* Radio Station Audio Engineer* Radio/Television Technician* Remote Broadcast Engineer* Telecasting Engineer* Television Audio Engineer,Associate's degree,27-4012,28.4,31.6,3.2,11.2,3.3,"43,570",4,None,4,Short-term on-the-job training,5
Sound engineering technicians    * Audio Recording Engineer* Disc Recordist* Dub Room Engineer* Film Sound Engineer* Play Back Operator* Public Address Technician* Recording Engineer* Sound Assistant* Sound Cutter* Sound Designer* Sound Editor* Sound Effects Technician* Sound Engineering Technician,Postsecondary nondegree award,27-4014,13.1,15.4,2.3,17.4,1.6,"53,520",5,None,4,Short-term on-the-job training,5
Photographers    * Advertising Photographer* Aerial Photographer* Industrial Photographer* Marine Photographer* Medical Photographer* News Photographer* Newspaper Photojournalist* Photojournalist* Portrait Photographer* School Photographer* Wedding Photographer,High school diploma or equivalent,27-4021,110.5,129.4,18.9,17.1,12.7,"41,280",7,None,4,Moderate-term on-the-job training,4
